TimeStamp: 2022/01/18 18:05:36.168, ElapsedTime[s]: 51.81901, Temperature[degC]: 20.96514, Humidity[%]: 54.61814
TimeStamp: 2022/01/18 18:06:49.778381, ElapsedTime[s]: 125.599, Temperature[degC]: 20.93576, Humidity[%]: 55.11253
TimeStamp: 2022/01/18 18:06:51.120887, ElapsedTime[s]: 126.94, Temperature[degC]: 20.96514, Humidity[%]: 55.09422
TimeStamp: 2022/01/18 18:06:52.462599, ElapsedTime[s]: 128.281, Temperature[degC]: 20.95178, Humidity[%]: 55.09117
TimeStamp: 2022/01/18 18:06:53.803972, ElapsedTime[s]: 129.624, Temperature[degC]: 20.95178, Humidity[%]: 55.04082
TimeStamp: 2022/01/18 18:06:55.146513, ElapsedTime[s]: 130.966, Temperature[degC]: 20.96514, Humidity[%]: 54.95842
TimeStamp: 2022/01/18 18:06:56.488275, ElapsedTime[s]: 132.31, Temperature[degC]: 20.95178, Humidity[%]: 54.90807
TimeStamp: 2022/01/18 18:06:57.833429, ElapsedTime[s]: 133.653, Temperature[degC]: 20.95178, Humidity[%]: 54.87144
TimeStamp: 2022/01/18 18:06:59.175488, ElapsedTime[s]: 134.995, Temperature[degC]: 20.93576, Humidity[%]: 54.79667
TimeStamp: 2022/01/18 18:07:00.517243, ElapsedTime[s]: 136.334, Temperature[degC]: 20.93576, Humidity[%]: 54.83329
TimeStamp: 2022/01/18 18:07:01.855475, ElapsedTime[s]: 137.679, Temperature[degC]: 20.95178, Humidity[%]: 54.73869
TimeStamp: 2022/01/18 18:07:03.200329, ElapsedTime[s]: 139.021, Temperature[degC]: 20.95178, Humidity[%]: 54.7509
TimeStamp: 2022/01/18 18:07:04.542516, ElapsedTime[s]: 140.363, Temperature[degC]: 20.96514, Humidity[%]: 54.72953
TimeStamp: 2022/01/18 18:07:05.884474, ElapsedTime[s]: 141.706, Temperature[degC]: 20.92241, Humidity[%]: 54.68376
TimeStamp: 2022/01/18 18:07:07.228492, ElapsedTime[s]: 143.049, Temperature[degC]: 20.95178, Humidity[%]: 54.68833
TimeStamp: 2022/01/18 18:07:08.571241, ElapsedTime[s]: 144.392, Temperature[degC]: 20.95178, Humidity[%]: 54.65477
TimeStamp: 2022/01/18 18:07:09.913351, ElapsedTime[s]: 145.737, Temperature[degC]: 20.96514, Humidity[%]: 54.63188
TimeStamp: 2022/01/18 18:07:11.259032, ElapsedTime[s]: 147.076, Temperature[degC]: 20.95178, Humidity[%]: 54.60441
TimeStamp: 2022/01/18 18:07:12.597175, ElapsedTime[s]: 148.412, Temperature[degC]: 20.95178, Humidity[%]: 54.60441
TimeStamp: 2022/01/18 18:07:13.933074, ElapsedTime[s]: 149.75, Temperature[degC]: 20.93576, Humidity[%]: 54.6273
TimeStamp: 2022/01/18 18:07:15.273807, ElapsedTime[s]: 151.09, Temperature[degC]: 20.93576, Humidity[%]: 54.61357
TimeStamp: 2022/01/18 18:07:16.611340, ElapsedTime[s]: 152.428, Temperature[degC]: 20.96514, Humidity[%]: 54.65629
TimeStamp: 2022/01/18 18:07:17.950986, ElapsedTime[s]: 153.767, Temperature[degC]: 20.95178, Humidity[%]: 54.77378
TimeStamp: 2022/01/18 18:07:19.288286, ElapsedTime[s]: 155.104, Temperature[degC]: 20.96514, Humidity[%]: 54.83787
TimeStamp: 2022/01/18 18:07:20.627767, ElapsedTime[s]: 156.444, Temperature[degC]: 20.96514, Humidity[%]: 54.92485
TimeStamp: 2022/01/18 18:07:21.965079, ElapsedTime[s]: 157.78, Temperature[degC]: 20.95178, Humidity[%]: 54.95689
TimeStamp: 2022/01/18 18:07:23.302054, ElapsedTime[s]: 159.118, Temperature[degC]: 20.93576, Humidity[%]: 54.96605
TimeStamp: 2022/01/18 18:07:24.640358, ElapsedTime[s]: 160.456, Temperature[degC]: 20.93576, Humidity[%]: 55.0042
TimeStamp: 2022/01/18 18:07:25.978244, ElapsedTime[s]: 161.794, Temperature[degC]: 20.95178, Humidity[%]: 55.00725
TimeStamp: 2022/01/18 18:07:27.315513, ElapsedTime[s]: 163.131, Temperature[degC]: 20.93576, Humidity[%]: 54.94316
TimeStamp: 2022/01/18 18:07:28.651998, ElapsedTime[s]: 164.468, Temperature[degC]: 20.96514, Humidity[%]: 54.93553
TimeStamp: 2022/01/18 18:07:29.991427, ElapsedTime[s]: 165.807, Temperature[degC]: 20.95178, Humidity[%]: 54.93401
TimeStamp: 2022/01/18 18:07:31.327826, ElapsedTime[s]: 167.144, Temperature[degC]: 20.93576, Humidity[%]: 54.95384
TimeStamp: 2022/01/18 18:07:32.668111, ElapsedTime[s]: 168.483, Temperature[degC]: 20.93576, Humidity[%]: 54.96605
TimeStamp: 2022/01/18 18:07:34.5620, ElapsedTime[s]: 169.822, Temperature[degC]: 20.93576, Humidity[%]: 54.95384
TimeStamp: 2022/01/18 18:07:35.342358, ElapsedTime[s]: 171.158, Temperature[degC]: 20.95178, Humidity[%]: 55.00725
TimeStamp: 2022/01/18 18:07:36.679977, ElapsedTime[s]: 172.497, Temperature[degC]: 20.93576, Humidity[%]: 54.95384
TimeStamp: 2022/01/18 18:07:38.18826, ElapsedTime[s]: 173.835, Temperature[degC]: 20.95178, Humidity[%]: 54.94469
TimeStamp: 2022/01/18 18:07:39.356316, ElapsedTime[s]: 175.173, Temperature[degC]: 20.93576, Humidity[%]: 54.94316
TimeStamp: 2022/01/18 18:07:40.695855, ElapsedTime[s]: 176.511, Temperature[degC]: 20.95178, Humidity[%]: 54.86076
TimeStamp: 2022/01/18 18:07:42.34081, ElapsedTime[s]: 177.851, Temperature[degC]: 20.95178, Humidity[%]: 54.83482
TimeStamp: 2022/01/18 18:07:43.371992, ElapsedTime[s]: 179.187, Temperature[degC]: 20.95178, Humidity[%]: 54.78752
TimeStamp: 2022/01/18 18:07:44.709463, ElapsedTime[s]: 180.526, Temperature[degC]: 20.93576, Humidity[%]: 54.69749
TimeStamp: 2022/01/18 18:07:46.48240, ElapsedTime[s]: 181.864, Temperature[degC]: 20.95178, Humidity[%]: 54.66545
TimeStamp: 2022/01/18 18:07:47.384588, ElapsedTime[s]: 183.201, Temperature[degC]: 20.93576, Humidity[%]: 54.61357
TimeStamp: 2022/01/18 18:07:48.723953, ElapsedTime[s]: 184.539, Temperature[degC]: 20.95178, Humidity[%]: 54.5922
TimeStamp: 2022/01/18 18:07:50.60777, ElapsedTime[s]: 185.878, Temperature[degC]: 20.92241, Humidity[%]: 54.67308
TimeStamp: 2022/01/18 18:07:51.397714, ElapsedTime[s]: 187.213, Temperature[degC]: 20.93576, Humidity[%]: 54.74784
TimeStamp: 2022/01/18 18:07:52.734073, ElapsedTime[s]: 188.551, Temperature[degC]: 20.92241, Humidity[%]: 54.80735
TimeStamp: 2022/01/18 18:07:54.71825, ElapsedTime[s]: 189.887, Temperature[degC]: 20.96514, Humidity[%]: 54.86228
TimeStamp: 2022/01/18 18:07:55.407841, ElapsedTime[s]: 191.225, Temperature[degC]: 20.93576, Humidity[%]: 54.85771
TimeStamp: 2022/01/18 18:07:56.746860, ElapsedTime[s]: 192.563, Temperature[degC]: 20.93576, Humidity[%]: 54.8806
TimeStamp: 2022/01/18 18:07:58.85772, ElapsedTime[s]: 193.903, Temperature[degC]: 20.95178, Humidity[%]: 54.84855
TimeStamp: 2022/01/18 18:07:59.423891, ElapsedTime[s]: 195.24, Temperature[degC]: 20.93576, Humidity[%]: 54.8806
TimeStamp: 2022/01/18 18:08:00.762415, ElapsedTime[s]: 196.579, Temperature[degC]: 20.95178, Humidity[%]: 54.82414
TimeStamp: 2022/01/18 18:08:02.101294, ElapsedTime[s]: 197.924, Temperature[degC]: 20.93576, Humidity[%]: 54.78446
TimeStamp: 2022/01/18 18:08:03.446902, ElapsedTime[s]: 199.267, Temperature[degC]: 20.93576, Humidity[%]: 54.83329
TimeStamp: 2022/01/18 18:08:04.790585, ElapsedTime[s]: 200.611, Temperature[degC]: 20.95178, Humidity[%]: 54.77378
TimeStamp: 2022/01/18 18:08:06.133315, ElapsedTime[s]: 201.958, Temperature[degC]: 20.93576, Humidity[%]: 54.80735
TimeStamp: 2022/01/18 18:08:07.480605, ElapsedTime[s]: 203.302, Temperature[degC]: 20.93576, Humidity[%]: 54.83329
TimeStamp: 2022/01/18 18:08:08.825512, ElapsedTime[s]: 204.646, Temperature[degC]: 20.92241, Humidity[%]: 54.84397
TimeStamp: 2022/01/18 18:08:10.168855, ElapsedTime[s]: 205.985, Temperature[degC]: 20.93576, Humidity[%]: 54.8806
TimeStamp: 2022/01/18 18:08:11.508204, ElapsedTime[s]: 207.325, Temperature[degC]: 20.93576, Humidity[%]: 54.86991
TimeStamp: 2022/01/18 18:08:12.847440, ElapsedTime[s]: 208.663, Temperature[degC]: 20.93576, Humidity[%]: 54.89281
TimeStamp: 2022/01/18 18:08:14.185928, ElapsedTime[s]: 210.003, Temperature[degC]: 20.92241, Humidity[%]: 54.83024
TimeStamp: 2022/01/18 18:08:15.525624, ElapsedTime[s]: 211.341, Temperature[degC]: 20.92241, Humidity[%]: 54.84397
TimeStamp: 2022/01/18 18:08:16.863273, ElapsedTime[s]: 212.679, Temperature[degC]: 20.93576, Humidity[%]: 54.83329
TimeStamp: 2022/01/18 18:08:18.202232, ElapsedTime[s]: 214.018, Temperature[degC]: 20.92241, Humidity[%]: 54.74632
TimeStamp: 2022/01/18 18:08:19.539084, ElapsedTime[s]: 215.355, Temperature[degC]: 20.93576, Humidity[%]: 54.71122
TimeStamp: 2022/01/18 18:08:20.879533, ElapsedTime[s]: 216.695, Temperature[degC]: 20.92241, Humidity[%]: 54.69596
TimeStamp: 2022/01/18 18:08:22.217665, ElapsedTime[s]: 218.034, Temperature[degC]: 20.93576, Humidity[%]: 54.64103
TimeStamp: 2022/01/18 18:08:23.555742, ElapsedTime[s]: 219.372, Temperature[degC]: 20.92241, Humidity[%]: 54.61051
TimeStamp: 2022/01/18 18:08:24.892997, ElapsedTime[s]: 220.709, Temperature[degC]: 20.92241, Humidity[%]: 54.66087
TimeStamp: 2022/01/18 18:08:26.231036, ElapsedTime[s]: 222.048, Temperature[degC]: 20.92241, Humidity[%]: 54.67308
TimeStamp: 2022/01/18 18:08:27.569592, ElapsedTime[s]: 223.385, Temperature[degC]: 20.90906, Humidity[%]: 54.67002
TimeStamp: 2022/01/18 18:08:28.907987, ElapsedTime[s]: 224.725, Temperature[degC]: 20.95178, Humidity[%]: 54.66545
TimeStamp: 2022/01/18 18:08:30.247728, ElapsedTime[s]: 226.063, Temperature[degC]: 20.96514, Humidity[%]: 54.6685
TimeStamp: 2022/01/18 18:08:31.586637, ElapsedTime[s]: 227.403, Temperature[degC]: 20.92241, Humidity[%]: 54.7097
TimeStamp: 2022/01/18 18:08:32.925064, ElapsedTime[s]: 228.74, Temperature[degC]: 20.92241, Humidity[%]: 54.73411
TimeStamp: 2022/01/18 18:08:34.262738, ElapsedTime[s]: 230.079, Temperature[degC]: 20.90906, Humidity[%]: 54.75547
TimeStamp: 2022/01/18 18:08:35.601290, ElapsedTime[s]: 231.417, Temperature[degC]: 20.92241, Humidity[%]: 54.79362
TimeStamp: 2022/01/18 18:08:36.938859, ElapsedTime[s]: 232.755, Temperature[degC]: 20.93576, Humidity[%]: 54.83329
TimeStamp: 2022/01/18 18:08:38.279122, ElapsedTime[s]: 234.094, Temperature[degC]: 20.93576, Humidity[%]: 54.92027
TimeStamp: 2022/01/18 18:08:39.615940, ElapsedTime[s]: 235.432, Temperature[degC]: 20.93576, Humidity[%]: 54.94316
TimeStamp: 2022/01/18 18:08:40.955241, ElapsedTime[s]: 236.771, Temperature[degC]: 20.93576, Humidity[%]: 54.96605
TimeStamp: 2022/01/18 18:08:42.293966, ElapsedTime[s]: 238.11, Temperature[degC]: 20.93576, Humidity[%]: 54.99046
TimeStamp: 2022/01/18 18:08:43.633070, ElapsedTime[s]: 239.449, Temperature[degC]: 20.92241, Humidity[%]: 54.98894
TimeStamp: 2022/01/18 18:08:44.972079, ElapsedTime[s]: 240.788, Temperature[degC]: 20.90906, Humidity[%]: 54.99962
TimeStamp: 2022/01/18 18:08:46.310349, ElapsedTime[s]: 242.127, Temperature[degC]: 20.92241, Humidity[%]: 54.88976
TimeStamp: 2022/01/18 18:08:47.650301, ElapsedTime[s]: 243.466, Temperature[degC]: 20.90906, Humidity[%]: 54.88976
TimeStamp: 2022/01/18 18:08:48.989480, ElapsedTime[s]: 244.805, Temperature[degC]: 20.92241, Humidity[%]: 54.90349
TimeStamp: 2022/01/18 18:08:50.328768, ElapsedTime[s]: 246.147, Temperature[degC]: 20.93576, Humidity[%]: 54.90654
TimeStamp: 2022/01/18 18:08:51.670253, ElapsedTime[s]: 247.486, Temperature[degC]: 20.93576, Humidity[%]: 54.93095
TimeStamp: 2022/01/18 18:08:53.8671, ElapsedTime[s]: 248.825, Temperature[degC]: 20.92241, Humidity[%]: 55.00267
TimeStamp: 2022/01/18 18:08:54.345375, ElapsedTime[s]: 250.161, Temperature[degC]: 20.93576, Humidity[%]: 54.95384
TimeStamp: 2022/01/18 18:08:55.683421, ElapsedTime[s]: 251.5, Temperature[degC]: 20.92241, Humidity[%]: 54.91722
TimeStamp: 2022/01/18 18:08:57.21326, ElapsedTime[s]: 252.837, Temperature[degC]: 20.93576, Humidity[%]: 54.85771
TimeStamp: 2022/01/18 18:08:58.359263, ElapsedTime[s]: 254.175, Temperature[degC]: 20.92241, Humidity[%]: 54.83024
TimeStamp: 2022/01/18 18:08:59.698599, ElapsedTime[s]: 255.514, Temperature[degC]: 20.95178, Humidity[%]: 54.84855
TimeStamp: 2022/01/18 18:09:01.38272, ElapsedTime[s]: 256.864, Temperature[degC]: 20.92241, Humidity[%]: 54.757
TimeStamp: 2022/01/18 18:09:02.384180, ElapsedTime[s]: 258.21, Temperature[degC]: 20.93576, Humidity[%]: 54.71122
TimeStamp: 2022/01/18 18:09:03.732158, ElapsedTime[s]: 259.558, Temperature[degC]: 20.93576, Humidity[%]: 54.65171
TimeStamp: 2022/01/18 18:09:05.79865, ElapsedTime[s]: 260.904, Temperature[degC]: 20.92241, Humidity[%]: 54.59983
TimeStamp: 2022/01/18 18:09:06.426236, ElapsedTime[s]: 262.254, Temperature[degC]: 20.93576, Humidity[%]: 54.61357
TimeStamp: 2022/01/18 18:09:07.776917, ElapsedTime[s]: 263.604, Temperature[degC]: 20.93576, Humidity[%]: 54.52812
TimeStamp: 2022/01/18 18:09:09.125609, ElapsedTime[s]: 264.954, Temperature[degC]: 20.92241, Humidity[%]: 54.41672
TimeStamp: 2022/01/18 18:09:10.475474, ElapsedTime[s]: 266.295, Temperature[degC]: 20.89571, Humidity[%]: 54.37705
TimeStamp: 2022/01/18 18:09:11.816569, ElapsedTime[s]: 267.636, Temperature[degC]: 20.90906, Humidity[%]: 54.30686
TimeStamp: 2022/01/18 18:09:13.158508, ElapsedTime[s]: 268.979, Temperature[degC]: 20.92241, Humidity[%]: 54.27176
TimeStamp: 2022/01/18 18:09:14.500735, ElapsedTime[s]: 270.32, Temperature[degC]: 20.90906, Humidity[%]: 54.23362
TimeStamp: 2022/01/18 18:09:15.842168, ElapsedTime[s]: 271.662, Temperature[degC]: 20.90906, Humidity[%]: 54.23362
TimeStamp: 2022/01/18 18:09:17.183963, ElapsedTime[s]: 273.004, Temperature[degC]: 20.92241, Humidity[%]: 54.27176
TimeStamp: 2022/01/18 18:09:18.525229, ElapsedTime[s]: 274.345, Temperature[degC]: 20.92241, Humidity[%]: 54.23514
TimeStamp: 2022/01/18 18:09:19.866819, ElapsedTime[s]: 275.686, Temperature[degC]: 20.92241, Humidity[%]: 54.23514
TimeStamp: 2022/01/18 18:09:21.208110, ElapsedTime[s]: 277.029, Temperature[degC]: 20.92241, Humidity[%]: 54.28397
TimeStamp: 2022/01/18 18:09:22.550530, ElapsedTime[s]: 278.37, Temperature[degC]: 20.95178, Humidity[%]: 54.27634
TimeStamp: 2022/01/18 18:09:23.891568, ElapsedTime[s]: 279.711, Temperature[degC]: 20.90906, Humidity[%]: 54.24735
TimeStamp: 2022/01/18 18:09:25.233743, ElapsedTime[s]: 281.057, Temperature[degC]: 20.92241, Humidity[%]: 54.28397
TimeStamp: 2022/01/18 18:09:26.578398, ElapsedTime[s]: 282.398, Temperature[degC]: 20.95178, Humidity[%]: 54.26566
TimeStamp: 2022/01/18 18:09:27.921457, ElapsedTime[s]: 283.741, Temperature[degC]: 20.93576, Humidity[%]: 54.31144
TimeStamp: 2022/01/18 18:09:29.262182, ElapsedTime[s]: 285.081, Temperature[degC]: 20.92241, Humidity[%]: 54.2977
TimeStamp: 2022/01/18 18:09:30.602990, ElapsedTime[s]: 286.423, Temperature[degC]: 20.95178, Humidity[%]: 54.31296
TimeStamp: 2022/01/18 18:09:31.946419, ElapsedTime[s]: 287.765, Temperature[degC]: 20.92241, Humidity[%]: 54.35721
TimeStamp: 2022/01/18 18:09:33.287233, ElapsedTime[s]: 289.107, Temperature[degC]: 20.90906, Humidity[%]: 54.4274
TimeStamp: 2022/01/18 18:09:34.628517, ElapsedTime[s]: 290.449, Temperature[degC]: 20.95178, Humidity[%]: 54.47165
TimeStamp: 2022/01/18 18:09:35.969864, ElapsedTime[s]: 291.789, Temperature[degC]: 20.93576, Humidity[%]: 54.4686
TimeStamp: 2022/01/18 18:09:37.313282, ElapsedTime[s]: 293.133, Temperature[degC]: 20.92241, Humidity[%]: 54.61051
TimeStamp: 2022/01/18 18:09:38.654058, ElapsedTime[s]: 294.473, Temperature[degC]: 20.90906, Humidity[%]: 54.68223
TimeStamp: 2022/01/18 18:09:39.997196, ElapsedTime[s]: 295.817, Temperature[degC]: 20.90906, Humidity[%]: 54.68223
TimeStamp: 2022/01/18 18:09:41.340178, ElapsedTime[s]: 297.159, Temperature[degC]: 20.90906, Humidity[%]: 54.77989
TimeStamp: 2022/01/18 18:09:42.681392, ElapsedTime[s]: 298.504, Temperature[degC]: 20.92241, Humidity[%]: 54.80735
TimeStamp: 2022/01/18 18:09:44.26838, ElapsedTime[s]: 299.846, Temperature[degC]: 20.92241, Humidity[%]: 54.87907
TimeStamp: 2022/01/18 18:09:45.367376, ElapsedTime[s]: 301.187, Temperature[degC]: 20.92241, Humidity[%]: 54.83024
TimeStamp: 2022/01/18 18:09:46.708833, ElapsedTime[s]: 302.529, Temperature[degC]: 20.95178, Humidity[%]: 54.9218
TimeStamp: 2022/01/18 18:09:48.51399, ElapsedTime[s]: 303.872, Temperature[degC]: 20.93576, Humidity[%]: 54.94316
TimeStamp: 2022/01/18 18:09:49.394846, ElapsedTime[s]: 305.214, Temperature[degC]: 20.89571, Humidity[%]: 54.95842
TimeStamp: 2022/01/18 18:09:50.738281, ElapsedTime[s]: 306.557, Temperature[degC]: 20.90906, Humidity[%]: 55.01183
TimeStamp: 2022/01/18 18:09:52.79915, ElapsedTime[s]: 307.9, Temperature[degC]: 20.90906, Humidity[%]: 54.9752
TimeStamp: 2022/01/18 18:09:53.421323, ElapsedTime[s]: 309.24, Temperature[degC]: 20.92241, Humidity[%]: 55.03624
TimeStamp: 2022/01/18 18:09:54.762393, ElapsedTime[s]: 310.582, Temperature[degC]: 20.93576, Humidity[%]: 55.06371
TimeStamp: 2022/01/18 18:09:56.104504, ElapsedTime[s]: 311.924, Temperature[degC]: 20.92241, Humidity[%]: 55.01335
TimeStamp: 2022/01/18 18:09:57.445212, ElapsedTime[s]: 313.265, Temperature[degC]: 20.92241, Humidity[%]: 55.02556
TimeStamp: 2022/01/18 18:09:58.786059, ElapsedTime[s]: 314.606, Temperature[degC]: 20.92241, Humidity[%]: 55.04997
TimeStamp: 2022/01/18 18:10:00.128428, ElapsedTime[s]: 315.943, Temperature[degC]: 20.92241, Humidity[%]: 54.95232
TimeStamp: 2022/01/18 18:10:01.464320, ElapsedTime[s]: 317.282, Temperature[degC]: 20.92241, Humidity[%]: 54.95232
TimeStamp: 2022/01/18 18:10:02.803191, ElapsedTime[s]: 318.618, Temperature[degC]: 20.93576, Humidity[%]: 54.92027
TimeStamp: 2022/01/18 18:10:04.140678, ElapsedTime[s]: 319.956, Temperature[degC]: 20.89571, Humidity[%]: 54.88823
